Vin ,N10:d wdif 1.5e-06  (A),N10:d wdif 6e-06  (A),N10:d wdif 1.5e-05  (A),N10:d wdif 3.3e-05  (A),N10:d wdif 6.3e-05  (A)
1.570,14.08E-9,9.097E-9,7.538E-9,6.638E-9,6.106E-9
1.580,11.68E-9,7.297E-9,5.980E-9,5.233E-9,4.797E-9
1.590,9.632E-9,5.827E-9,4.727E-9,4.113E-9,3.758E-9
1.600,7.903E-9,4.635E-9,3.724E-9,3.224E-9,2.937E-9
1.610,6.453E-9,3.674E-9,2.926E-9,2.522E-9,2.291E-9
1.620,5.246E-9,2.904E-9,2.294E-9,1.969E-9,1.784E-9
1.630,4.247E-9,2.289E-9,1.795E-9,1.534E-9,1.388E-9
1.640,3.426E-9,1.801E-9,1.402E-9,1.194E-9,1.078E-9
1.650,2.754E-9,1.413E-9,1.094E-9,928.7E-12,836.9E-12
1.660,2.207E-9,1.108E-9,852.2E-12,721.5E-12,649.2E-12
1.670,1.764E-9,866.7E-12,663.3E-12,560.2E-12,503.3E-12
1.680,1.406E-9,677.4E-12,516.0E-12,434.7E-12,390.0E-12
1.690,1.118E-9,528.9E-12,401.1E-12,337.2E-12,302.2E-12
1.700,887.0E-12,412.6E-12,311.7E-12,261.6E-12,234.2E-12
1.710,702.6E-12,321.8E-12,242.2E-12,203.0E-12,181.6E-12
1.720,555.6E-12,250.8E-12,188.3E-12,157.5E-12,140.9E-12
1.730,438.8E-12,195.5E-12,146.4E-12,122.4E-12,109.4E-12
1.740,346.2E-12,152.5E-12,114.0E-12,95.22E-12,85.10E-12
1.750,272.9E-12,119.0E-12,88.82E-12,74.21E-12,66.34E-12
1.760,215.0E-12,92.98E-12,69.36E-12,57.98E-12,51.86E-12
1.770,169.3E-12,72.78E-12,54.32E-12,45.46E-12,40.70E-12
1.780,133.4E-12,57.11E-12,42.69E-12,35.80E-12,32.11E-12
1.790,105.1E-12,44.97E-12,33.72E-12,28.36E-12,25.49E-12
1.800,82.99E-12,35.56E-12,26.79E-12,22.62E-12,20.39E-12
1.810,65.62E-12,28.29E-12,21.45E-12,18.21E-12,16.48E-12
1.820,52.03E-12,22.67E-12,17.33E-12,14.82E-12,13.47E-12
1.830,41.40E-12,18.32E-12,14.17E-12,12.21E-12,11.17E-12
1.840,33.10E-12,14.97E-12,11.73E-12,10.21E-12,9.400E-12
1.850,26.63E-12,12.39E-12,9.863E-12,8.680E-12,8.050E-12
1.860,21.58E-12,10.40E-12,8.431E-12,7.510E-12,7.020E-12
1.870,17.66E-12,8.878E-12,7.336E-12,6.619E-12,6.239E-12
1.880,14.61E-12,7.707E-12,6.502E-12,5.946E-12,5.652E-12
1.890,12.24E-12,6.812E-12,5.872E-12,5.442E-12,5.218E-12
1.900,10.40E-12,6.132E-12,5.400E-12,5.072E-12,4.902E-12
1.910,8.983E-12,5.618E-12,5.053E-12,4.803E-12,4.672E-12
1.920,7.885E-12,5.236E-12,4.801E-12,4.605E-12,4.500E-12
1.930,7.040E-12,4.955E-12,4.614E-12,4.455E-12,4.368E-12
1.940,6.391E-12,4.749E-12,4.472E-12,4.340E-12,4.267E-12
1.950,5.895E-12,4.594E-12,4.363E-12,4.251E-12,4.188E-12
1.960,5.518E-12,4.475E-12,4.279E-12,4.182E-12,4.126E-12
1.970,5.234E-12,4.384E-12,4.213E-12,4.127E-12,4.078E-12
1.980,5.022E-12,4.312E-12,4.160E-12,4.084E-12,4.039E-12
1.990,4.863E-12,4.256E-12,4.119E-12,4.049E-12,4.007E-12
2.000,4.742E-12,4.211E-12,4.086E-12,4.020E-12,3.982E-12
2.010,4.649E-12,4.176E-12,4.058E-12,3.997E-12,3.960E-12
2.020,4.577E-12,4.146E-12,4.036E-12,3.977E-12,3.942E-12
2.030,4.520E-12,4.122E-12,4.017E-12,3.961E-12,3.927E-12
2.040,4.475E-12,4.102E-12,4.000E-12,3.946E-12,3.913E-12
2.050,4.439E-12,4.085E-12,3.986E-12,3.933E-12,3.901E-12
2.060,4.409E-12,4.070E-12,3.973E-12,3.921E-12,3.890E-12
2.070,4.385E-12,4.057E-12,3.962E-12,3.911E-12,3.880E-12
2.080,4.365E-12,4.045E-12,3.951E-12,3.901E-12,3.870E-12
2.090,4.348E-12,4.035E-12,3.941E-12,3.891E-12,3.861E-12
2.100,4.333E-12,4.025E-12,3.932E-12,3.882E-12,3.852E-12
2.110,4.320E-12,4.015E-12,3.923E-12,3.874E-12,3.844E-12
2.120,4.309E-12,4.006E-12,3.914E-12,3.865E-12,3.836E-12
2.130,4.298E-12,3.997E-12,3.906E-12,3.857E-12,3.828E-12
2.140,4.288E-12,3.989E-12,3.898E-12,3.849E-12,3.821E-12
2.150,4.279E-12,3.981E-12,3.890E-12,3.841E-12,3.814E-12
2.160,4.271E-12,3.972E-12,3.882E-12,3.834E-12,3.808E-12
2.170,4.262E-12,3.964E-12,3.874E-12,3.827E-12,3.802E-12
2.180,4.254E-12,3.957E-12,3.866E-12,3.820E-12,3.797E-12
2.190,4.246E-12,3.949E-12,3.858E-12,3.813E-12,3.793E-12
2.200,4.239E-12,3.941E-12,3.851E-12,3.807E-12,3.789E-12
