Vin ,N10:d Vr 0.8  (A),N10:d Vr 1  (A),N10:d Vr 1.2  (A),N10:d Vr 1.4  (A),N10:d Vr 1.6  (A),N10:d Vr 1.8  (A)
1.470,4.355E-12,7.549E-12,549.7E-12,48.98E-9,15.21E-9,105.8E-12
1.480,4.343E-12,6.741E-12,427.3E-12,41.56E-9,18.89E-9,135.7E-12
1.490,4.333E-12,6.125E-12,332.1E-12,34.79E-9,23.28E-9,174.3E-12
1.500,4.323E-12,5.659E-12,258.1E-12,28.78E-9,28.45E-9,224.2E-12
1.510,4.313E-12,5.309E-12,200.7E-12,23.56E-9,34.42E-9,288.4E-12
1.520,4.304E-12,5.049E-12,156.1E-12,19.12E-9,41.16E-9,371.3E-12
1.530,4.295E-12,4.856E-12,121.5E-12,15.39E-9,48.57E-9,478.1E-12
1.540,4.287E-12,4.712E-12,94.77E-12,12.31E-9,56.48E-9,615.6E-12
1.550,4.279E-12,4.601E-12,74.03E-12,9.788E-9,64.59E-9,792.6E-12
1.560,4.270E-12,4.516E-12,57.99E-12,7.747E-9,72.47E-9,1.020E-9
1.570,4.262E-12,4.450E-12,45.58E-12,6.106E-9,79.56E-9,1.312E-9
1.580,4.254E-12,4.397E-12,35.99E-12,4.797E-9,85.24E-9,1.686E-9
1.590,4.246E-12,4.355E-12,28.58E-12,3.758E-9,88.92E-9,2.165E-9
1.600,4.238E-12,4.321E-12,22.87E-12,2.937E-9,90.19E-9,2.777E-9
1.610,4.231E-12,4.294E-12,18.46E-12,2.291E-9,88.92E-9,3.555E-9
1.620,4.223E-12,4.271E-12,15.07E-12,1.784E-9,85.23E-9,4.543E-9
1.630,4.215E-12,4.251E-12,12.46E-12,1.388E-9,79.53E-9,5.792E-9
1.640,4.207E-12,4.235E-12,10.45E-12,1.078E-9,72.41E-9,7.362E-9
1.650,4.199E-12,4.220E-12,8.909E-12,836.9E-12,64.49E-9,9.323E-9
1.660,4.191E-12,4.207E-12,7.729E-12,649.2E-12,56.33E-9,11.76E-9
1.670,4.184E-12,4.196E-12,6.827E-12,503.3E-12,48.37E-9,14.74E-9
