Vin ,N10:d l 6e-07  (A),N10:d l 1.2e-06  (A),N10:d l 1.8e-06  (A),N10:d l 2.4e-06  (A),N10:d l 6e-06  (A),N10:d l 1.2e-05  (A)
1.270,31.17E-9,15.76E-9,15.63E-9,15.97E-9,17.56E-9,19.02E-9
1.280,36.12E-9,19.50E-9,19.36E-9,19.75E-9,21.52E-9,23.09E-9
1.290,41.29E-9,23.94E-9,23.81E-9,24.24E-9,26.15E-9,27.78E-9
1.300,46.50E-9,29.14E-9,29.02E-9,29.49E-9,31.49E-9,33.13E-9
1.310,51.54E-9,35.12E-9,35.03E-9,35.53E-9,37.52E-9,39.08E-9
1.320,56.16E-9,41.84E-9,41.81E-9,42.31E-9,44.19E-9,45.55E-9
1.330,60.16E-9,49.22E-9,49.24E-9,49.71E-9,51.34E-9,52.36E-9
1.340,63.44E-9,57.06E-9,57.14E-9,57.53E-9,58.71E-9,59.23E-9
1.350,65.97E-9,65.06E-9,65.15E-9,65.41E-9,65.92E-9,65.79E-9
1.360,67.86E-9,72.81E-9,72.79E-9,72.85E-9,72.53E-9,71.64E-9
1.370,69.20E-9,79.78E-9,79.51E-9,79.30E-9,78.09E-9,76.45E-9
1.380,70.10E-9,85.33E-9,84.73E-9,84.27E-9,82.27E-9,80.02E-9
1.390,70.62E-9,88.93E-9,88.03E-9,87.38E-9,84.85E-9,82.20E-9
1.400,70.79E-9,90.18E-9,89.16E-9,88.45E-9,85.72E-9,82.93E-9
1.410,70.62E-9,88.93E-9,88.03E-9,87.38E-9,84.84E-9,82.20E-9
1.420,70.11E-9,85.33E-9,84.72E-9,84.26E-9,82.26E-9,80.01E-9
1.430,69.21E-9,79.74E-9,79.48E-9,79.27E-9,78.07E-9,76.44E-9
1.440,67.86E-9,72.74E-9,72.72E-9,72.78E-9,72.48E-9,71.60E-9
1.450,65.97E-9,64.94E-9,65.02E-9,65.29E-9,65.83E-9,65.71E-9
1.460,63.41E-9,56.88E-9,56.95E-9,57.35E-9,58.56E-9,59.11E-9
1.470,60.10E-9,48.98E-9,49.00E-9,49.48E-9,51.13E-9,52.19E-9
1.480,56.05E-9,41.56E-9,41.51E-9,42.01E-9,43.93E-9,45.33E-9
1.490,51.37E-9,34.79E-9,34.70E-9,35.19E-9,37.22E-9,38.82E-9
1.500,46.28E-9,28.78E-9,28.66E-9,29.13E-9,31.15E-9,32.83E-9
1.510,41.00E-9,23.56E-9,23.42E-9,23.86E-9,25.79E-9,27.46E-9
1.520,35.78E-9,19.12E-9,18.97E-9,19.36E-9,21.15E-9,22.75E-9
1.530,30.80E-9,15.39E-9,15.25E-9,15.59E-9,17.19E-9,18.67E-9
1.540,26.18E-9,12.31E-9,12.17E-9,12.46E-9,13.87E-9,15.21E-9
1.550,22.02E-9,9.788E-9,9.663E-9,9.906E-9,11.12E-9,12.30E-9
1.560,18.34E-9,7.747E-9,7.633E-9,7.833E-9,8.859E-9,9.884E-9
1.570,15.16E-9,6.106E-9,6.004E-9,6.168E-9,7.024E-9,7.898E-9
1.580,12.44E-9,4.797E-9,4.707E-9,4.839E-9,5.545E-9,6.280E-9
1.590,10.14E-9,3.758E-9,3.679E-9,3.785E-9,4.361E-9,4.971E-9
1.600,8.231E-9,2.937E-9,2.868E-9,2.952E-9,3.419E-9,3.920E-9
1.610,6.650E-9,2.291E-9,2.232E-9,2.298E-9,2.673E-9,3.081E-9
1.620,5.354E-9,1.784E-9,1.734E-9,1.785E-9,2.084E-9,2.415E-9
1.630,4.297E-9,1.388E-9,1.345E-9,1.385E-9,1.622E-9,1.888E-9
1.640,3.440E-9,1.078E-9,1.042E-9,1.073E-9,1.260E-9,1.473E-9
1.650,2.748E-9,836.9E-12,806.2E-12,830.3E-12,977.9E-12,1.146E-9
1.660,2.192E-9,649.2E-12,623.5E-12,642.0E-12,757.7E-12,891.0E-12
1.670,1.745E-9,503.3E-12,481.9E-12,496.1E-12,586.5E-12,691.6E-12
1.680,1.388E-9,390.0E-12,372.3E-12,383.2E-12,453.6E-12,536.2E-12
1.690,1.103E-9,302.2E-12,287.6E-12,295.9E-12,350.7E-12,415.3E-12
1.700,875.9E-12,234.2E-12,222.2E-12,228.5E-12,271.0E-12,321.5E-12
1.710,695.0E-12,181.6E-12,171.7E-12,176.5E-12,209.4E-12,248.8E-12
1.720,551.2E-12,140.9E-12,132.8E-12,136.4E-12,161.8E-12,192.5E-12
1.730,436.9E-12,109.4E-12,102.8E-12,105.5E-12,125.2E-12,148.9E-12
1.740,346.2E-12,85.10E-12,79.74E-12,81.76E-12,96.88E-12,115.3E-12
1.750,274.2E-12,66.34E-12,61.98E-12,63.49E-12,75.12E-12,89.36E-12
1.760,217.1E-12,51.86E-12,48.32E-12,49.45E-12,58.38E-12,69.37E-12
1.770,172.0E-12,40.70E-12,37.83E-12,38.66E-12,45.50E-12,53.98E-12
1.780,136.3E-12,32.11E-12,29.77E-12,30.39E-12,35.62E-12,42.14E-12
1.790,108.2E-12,25.49E-12,23.59E-12,24.04E-12,28.03E-12,33.05E-12
1.800,86.09E-12,20.39E-12,18.85E-12,19.18E-12,22.21E-12,26.06E-12
1.810,68.72E-12,16.48E-12,15.22E-12,15.45E-12,17.76E-12,20.70E-12
1.820,55.11E-12,13.47E-12,12.44E-12,12.60E-12,14.34E-12,16.59E-12
1.830,44.45E-12,11.17E-12,10.32E-12,10.43E-12,11.74E-12,13.44E-12
1.840,36.12E-12,9.400E-12,8.700E-12,8.768E-12,9.743E-12,11.04E-12
1.850,29.61E-12,8.050E-12,7.466E-12,7.505E-12,8.225E-12,9.201E-12
1.860,24.55E-12,7.020E-12,6.529E-12,6.545E-12,7.069E-12,7.800E-12
1.870,20.60E-12,6.239E-12,5.821E-12,5.820E-12,6.192E-12,6.735E-12
1.880,17.54E-12,5.652E-12,5.291E-12,5.277E-12,5.531E-12,5.927E-12
1.890,15.17E-12,5.218E-12,4.902E-12,4.876E-12,5.036E-12,5.317E-12
1.900,13.33E-12,4.902E-12,4.622E-12,4.587E-12,4.671E-12,4.862E-12
1.910,11.91E-12,4.672E-12,4.421E-12,4.381E-12,4.409E-12,4.527E-12
1.920,10.81E-12,4.500E-12,4.271E-12,4.229E-12,4.222E-12,4.285E-12
1.930,9.958E-12,4.368E-12,4.158E-12,4.115E-12,4.084E-12,4.112E-12
1.940,9.300E-12,4.267E-12,4.071E-12,4.027E-12,3.980E-12,3.984E-12
1.950,8.788E-12,4.188E-12,4.004E-12,3.960E-12,3.900E-12,3.888E-12
1.960,8.388E-12,4.126E-12,3.951E-12,3.907E-12,3.839E-12,3.814E-12
1.970,8.072E-12,4.078E-12,3.910E-12,3.866E-12,3.791E-12,3.757E-12
1.980,7.821E-12,4.039E-12,3.877E-12,3.833E-12,3.754E-12,3.713E-12
1.990,7.619E-12,4.007E-12,3.851E-12,3.807E-12,3.724E-12,3.678E-12
2.000,7.456E-12,3.982E-12,3.829E-12,3.786E-12,3.700E-12,3.650E-12
2.010,7.323E-12,3.960E-12,3.811E-12,3.768E-12,3.680E-12,3.628E-12
2.020,7.214E-12,3.942E-12,3.796E-12,3.753E-12,3.664E-12,3.609E-12
2.030,7.124E-12,3.927E-12,3.784E-12,3.741E-12,3.651E-12,3.594E-12
2.040,7.051E-12,3.913E-12,3.772E-12,3.730E-12,3.639E-12,3.581E-12
2.050,6.991E-12,3.901E-12,3.762E-12,3.720E-12,3.629E-12,3.570E-12
2.060,6.942E-12,3.890E-12,3.753E-12,3.711E-12,3.620E-12,3.561E-12
2.070,6.903E-12,3.880E-12,3.745E-12,3.703E-12,3.612E-12,3.552E-12
2.080,6.870E-12,3.870E-12,3.737E-12,3.696E-12,3.604E-12,3.545E-12
2.090,6.844E-12,3.861E-12,3.730E-12,3.689E-12,3.598E-12,3.537E-12
2.100,6.823E-12,3.852E-12,3.723E-12,3.682E-12,3.591E-12,3.531E-12
2.110,6.805E-12,3.844E-12,3.716E-12,3.676E-12,3.585E-12,3.525E-12
2.120,6.791E-12,3.836E-12,3.710E-12,3.670E-12,3.579E-12,3.519E-12
2.130,6.780E-12,3.828E-12,3.703E-12,3.663E-12,3.573E-12,3.514E-12
2.140,6.771E-12,3.821E-12,3.697E-12,3.658E-12,3.568E-12,3.509E-12
2.150,6.763E-12,3.814E-12,3.691E-12,3.652E-12,3.563E-12,3.504E-12
2.160,6.757E-12,3.808E-12,3.686E-12,3.647E-12,3.558E-12,3.500E-12
2.170,6.752E-12,3.802E-12,3.680E-12,3.641E-12,3.554E-12,3.496E-12
2.180,6.749E-12,3.797E-12,3.675E-12,3.636E-12,3.550E-12,3.493E-12
2.190,6.746E-12,3.793E-12,3.670E-12,3.632E-12,3.546E-12,3.490E-12
2.200,6.743E-12,3.789E-12,3.666E-12,3.628E-12,3.543E-12,3.487E-12
